Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
1,10,11207.0,Brooklyn,1626,4.62
2,10,11236.0,Brooklyn,1125,3.2
3,10,11208.0,Brooklyn,1052,2.99
4,10,11101.0,Queens,988,2.81
5,10,11234.0,Brooklyn,963,2.74
6,10,11201.0,Brooklyn,955,2.71
7,10,11203.0,Brooklyn,949,2.7
8,10,11368.0,Queens,940,2.67
9,10,11385.0,Queens,933,2.65
10,10,11212.0,Brooklyn,911,2.59
11,10,11220.0,Brooklyn,890,2.53
12,10,11226.0,Brooklyn,880,2.5
13,10,10314.0,Staten Island,856,2.43
14,10,11206.0,Brooklyn,845,2.4
15,10,11213.0,Brooklyn,829,2.36
16,10,11434.0,Queens,806,2.29
17,10,11235.0,Brooklyn,805,2.29
18,10,11377.0,Queens,793,2.25
19,10,10457.0,Bronx,788,2.24
20,10,10029.0,Manhattan,781,2.22
21,10,11211.0,Brooklyn,769,2.19
22,10,10002.0,Manhattan,751,2.13
23,9,10467.0,Bronx,750,2.13
24,9,11233.0,Brooklyn,745,2.12
25,9,11221.0,Brooklyn,735,2.09
26,9,11214.0,Brooklyn,726,2.06
27,9,11432.0,Queens,725,2.06
28,9,11373.0,Queens,682,1.94
29,9,10460.0,Bronx,677,1.92
30,9,11435.0,Queens,654,1.86
31,9,11372.0,Queens,647,1.84
32,9,11222.0,Brooklyn,637,1.81
33,9,11216.0,Brooklyn,637,1.81
34,9,11223.0,Brooklyn,623,1.77
35,9,10451.0,Bronx,610,1.73
36,9,10452.0,Bronx,606,1.72
37,9,10306.0,Staten Island,603,1.71
38,9,11354.0,Queens,599,1.7
39,9,10458.0,Bronx,599,1.7
40,9,10312.0,Staten Island,596,1.69
41,9,11375.0,Queens,596,1.69
42,9,10027.0,Manhattan,592,1.68
43,9,11217.0,Brooklyn,592,1.68
44,9,10035.0,Manhattan,571,1.62
45,8,11420.0,Queens,569,1.62
46,8,11215.0,Brooklyn,565,1.61
48,8,10472.0,Bronx,564,1.6
47,8,11237.0,Brooklyn,564,1.6
49,8,11230.0,Brooklyn,555,1.58
50,8,11218.0,Brooklyn,547,1.55
51,8,11238.0,Brooklyn,542,1.54
53,8,11229.0,Brooklyn,541,1.54
52,8,10468.0,Bronx,541,1.54
54,8,10462.0,Bronx,534,1.52
55,8,10453.0,Bronx,533,1.52
56,8,11204.0,Brooklyn,531,1.51
57,8,11205.0,Brooklyn,526,1.5
58,8,11232.0,Brooklyn,522,1.48
59,8,10461.0,Bronx,521,1.48
60,8,10019.0,Manhattan,517,1.47
61,8,11378.0,Queens,516,1.47
62,8,10466.0,Bronx,511,1.45
63,8,10310.0,Staten Island,507,1.44
64,8,10456.0,Bronx,505,1.44
65,8,10016.0,Manhattan,496,1.41
66,8,10001.0,Manhattan,493,1.4
67,7,10036.0,Manhattan,486,1.38
68,7,10463.0,Bronx,484,1.38
69,7,11413.0,Queens,483,1.37
70,7,11219.0,Brooklyn,483,1.37
71,7,11355.0,Queens,480,1.36
72,7,10455.0,Bronx,475,1.35
73,7,10013.0,Manhattan,474,1.35
74,7,11225.0,Brooklyn,472,1.34
75,7,11369.0,Queens,470,1.34
76,7,11691.0,Queens,469,1.33
77,7,10459.0,Bronx,468,1.33
79,7,11367.0,Queens,457,1.3
78,7,11418.0,Queens,457,1.3
80,7,11103.0,Queens,456,1.3
81,7,11210.0,Brooklyn,451,1.28
82,7,10033.0,Manhattan,449,1.28
83,7,11231.0,Brooklyn,446,1.27
84,7,11364.0,Queens,443,1.26
85,7,10025.0,Manhattan,439,1.25
86,7,10454.0,Bronx,436,1.24
87,7,10301.0,Staten Island,431,1.23
89,6,10469.0,Bronx,423,1.2
88,6,11209.0,Brooklyn,423,1.2
90,6,10304.0,Staten Island,407,1.16
91,6,10305.0,Staten Island,399,1.13
92,6,11419.0,Queens,399,1.13
93,6,11422.0,Queens,395,1.12
94,6,10011.0,Manhattan,393,1.12
95,6,10032.0,Manhattan,386,1.1
96,6,10022.0,Manhattan,384,1.09
97,6,11433.0,Queens,382,1.09
98,6,10473.0,Bronx,373,1.06
99,6,10031.0,Manhattan,371,1.05
100,6,10474.0,Bronx,368,1.05
101,6,11362.0,Queens,359,1.02
102,6,10465.0,Bronx,355,1.01
103,6,10003.0,Manhattan,345,0.98
104,6,11361.0,Queens,333,0.95
105,6,11106.0,Queens,331,0.94
106,6,11228.0,Brooklyn,323,0.92
107,6,11249.0,Brooklyn,319,0.91
108,6,11224.0,Brooklyn,318,0.9
110,5,11412.0,Queens,311,0.88
109,6,10018.0,Manhattan,311,0.88
111,5,11357.0,Queens,309,0.88
112,5,10034.0,Manhattan,307,0.87
113,5,10017.0,Manhattan,297,0.84
114,5,11423.0,Queens,294,0.84
115,5,11429.0,Queens,293,0.83
116,5,10065.0,Manhattan,289,0.82
117,5,11417.0,Queens,288,0.82
118,5,10010.0,Manhattan,282,0.8
119,5,11102.0,Queens,278,0.79
120,5,10023.0,Manhattan,270,0.77
121,5,11358.0,Queens,261,0.74
122,5,11421.0,Queens,255,0.72
123,5,10475.0,Bronx,253,0.72
124,5,11365.0,Queens,252,0.72
125,5,10014.0,Manhattan,250,0.71
126,5,11374.0,Queens,249,0.71
127,5,11370.0,Queens,243,0.69
128,5,10012.0,Manhattan,241,0.69
129,5,10128.0,Manhattan,239,0.68
130,5,11239.0,Brooklyn,236,0.67
131,5,11411.0,Queens,235,0.67
132,4,11436.0,Queens,234,0.67
133,4,10024.0,Manhattan,233,0.66
134,4,11356.0,Queens,233,0.66
135,4,10030.0,Manhattan,232,0.66
136,4,10470.0,Bronx,230,0.65
137,4,10021.0,Manhattan,226,0.64
138,4,10009.0,Manhattan,225,0.64
139,4,11379.0,Queens,223,0.63
140,4,10309.0,Staten Island,222,0.63
141,4,10039.0,Manhattan,221,0.63
142,4,11427.0,Queens,216,0.61
143,4,10026.0,Manhattan,209,0.59
144,4,10037.0,Manhattan,207,0.59
145,4,11426.0,Queens,197,0.56
146,4,11105.0,Queens,194,0.55
147,4,10040.0,Manhattan,185,0.53
148,4,11414.0,Queens,184,0.52
149,4,10038.0,Manhattan,180,0.51
150,4,11416.0,Queens,179,0.51
151,4,10471.0,Bronx,156,0.44
152,4,11428.0,Queens,154,0.44
153,3,10028.0,Manhattan,152,0.43
155,3,10007.0,Manhattan,151,0.43
154,3,11104.0,Queens,151,0.43
156,3,11366.0,Queens,146,0.42
157,3,11415.0,Queens,138,0.39
158,3,10302.0,Staten Island,137,0.39
159,3,11692.0,Queens,125,0.36
160,3,11360.0,Queens,124,0.35
161,3,10308.0,Staten Island,116,0.33
162,3,10075.0,Manhattan,114,0.32
163,3,11694.0,Queens,107,0.3
164,3,11004.0,Queens,106,0.3
165,3,11363.0,Queens,103,0.29
166,3,11693.0,Queens,101,0.29
167,3,10004.0,Manhattan,96,0.27
