Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
1,10,10029.0,Manhattan,781,4.21
2,10,10002.0,Manhattan,751,4.05
3,10,10027.0,Manhattan,592,3.19
4,10,10035.0,Manhattan,571,3.08
5,10,10019.0,Manhattan,517,2.79
6,10,10016.0,Manhattan,496,2.68
7,10,10001.0,Manhattan,493,2.66
8,10,10036.0,Manhattan,486,2.62
9,9,10013.0,Manhattan,474,2.56
10,9,10033.0,Manhattan,449,2.42
11,9,10025.0,Manhattan,439,2.37
12,9,10011.0,Manhattan,393,2.12
13,9,10032.0,Manhattan,386,2.08
14,9,10022.0,Manhattan,384,2.07
15,9,10031.0,Manhattan,371,2.0
16,8,10003.0,Manhattan,345,1.86
17,8,10018.0,Manhattan,311,1.68
18,8,10034.0,Manhattan,307,1.66
19,8,10017.0,Manhattan,297,1.6
20,8,10065.0,Manhattan,289,1.56
21,8,10010.0,Manhattan,282,1.52
22,8,10023.0,Manhattan,270,1.46
23,7,10014.0,Manhattan,250,1.35
24,7,10012.0,Manhattan,241,1.3
25,7,10128.0,Manhattan,239,1.29
26,7,10024.0,Manhattan,233,1.26
27,7,10030.0,Manhattan,232,1.25
28,7,10021.0,Manhattan,227,1.22
29,7,10009.0,Manhattan,225,1.21
30,6,10039.0,Manhattan,221,1.19
31,6,10026.0,Manhattan,209,1.13
32,6,10037.0,Manhattan,207,1.12
33,6,10040.0,Manhattan,185,1.0
34,6,10038.0,Manhattan,180,0.97
35,6,10028.0,Manhattan,152,0.82
36,6,10007.0,Manhattan,151,0.81
37,5,10075.0,Manhattan,114,0.61
38,5,10004.0,Manhattan,96,0.52
39,5,10005.0,Manhattan,62,0.33
40,5,10463.0,Manhattan,49,0.26
41,5,10000.0,Manhattan,39,0.21
42,5,10006.0,Manhattan,35,0.19
43,5,10069.0,Manhattan,32,0.17
44,4,10020.0,Manhattan,23,0.12
45,4,10280.0,Manhattan,11,0.06
46,4,10281.0,Manhattan,7,0.04
47,4,10172.0,Manhattan,7,0.04
48,4,10278.0,Manhattan,7,0.04
49,4,10282.0,Manhattan,6,0.03
50,4,10165.0,Manhattan,5,0.03
51,3,10168.0,Manhattan,4,0.02
52,3,10119.0,Manhattan,4,0.02
53,3,10112.0,Manhattan,4,0.02
54,3,10121.0,Manhattan,2,0.01
55,3,10153.0,Manhattan,2,0.01
56,3,10118.0,Manhattan,2,0.01
57,3,10110.0,Manhattan,2,0.01
58,2,10176.0,Manhattan,1,0.01
59,2,10279.0,Manhattan,1,0.01
60,2,10271.0,Manhattan,1,0.01
61,2,10178.0,Manhattan,1,0.01
62,2,10055.0,Manhattan,1,0.01
63,2,10173.0,Manhattan,1,0.01
64,2,10170.0,Manhattan,1,0.01
65,1,10169.0,Manhattan,1,0.01
66,1,10045.0,Manhattan,1,0.01
67,1,10155.0,Manhattan,1,0.01
68,1,10152.0,Manhattan,1,0.01
69,1,10120.0,Manhattan,1,0.01
70,1,10041.0,Manhattan,1,0.01
71,1,11236.0,Manhattan,1,0.01
