Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
1,10,11101.0,Queens,988,3.05
2,10,11385.0,Queens,941,2.91
3,10,11368.0,Queens,940,2.91
4,10,11434.0,Queens,806,2.49
5,10,11377.0,Queens,793,2.45
6,10,11432.0,Queens,725,2.24
7,10,11373.0,Queens,682,2.11
8,9,11435.0,Queens,654,2.02
9,9,11372.0,Queens,647,2.0
10,9,11354.0,Queens,599,1.85
11,9,11375.0,Queens,596,1.84
12,9,11420.0,Queens,569,1.76
13,9,11378.0,Queens,516,1.59
14,9,11413.0,Queens,483,1.49
15,8,11355.0,Queens,480,1.48
16,8,11369.0,Queens,470,1.45
17,8,11691.0,Queens,469,1.45
18,8,11367.0,Queens,457,1.41
19,8,11418.0,Queens,457,1.41
20,8,11103.0,Queens,456,1.41
21,7,11364.0,Queens,443,1.37
22,7,11419.0,Queens,399,1.23
23,7,11422.0,Queens,395,1.22
24,7,11433.0,Queens,382,1.18
25,7,11362.0,Queens,359,1.11
26,7,11361.0,Queens,333,1.03
27,7,11106.0,Queens,331,1.02
28,6,11412.0,Queens,311,0.96
29,6,11357.0,Queens,309,0.96
30,6,11423.0,Queens,294,0.91
31,6,11429.0,Queens,293,0.91
32,6,11417.0,Queens,288,0.89
33,6,11102.0,Queens,278,0.86
34,6,11358.0,Queens,261,0.81
35,5,11421.0,Queens,256,0.79
36,5,11365.0,Queens,252,0.78
37,5,11374.0,Queens,249,0.77
38,5,11370.0,Queens,243,0.75
39,5,11411.0,Queens,235,0.73
40,5,11436.0,Queens,234,0.72
41,4,11356.0,Queens,233,0.72
42,4,11379.0,Queens,223,0.69
43,4,11427.0,Queens,216,0.67
44,4,11426.0,Queens,197,0.61
45,4,11105.0,Queens,194,0.6
46,4,11414.0,Queens,193,0.6
47,4,11416.0,Queens,179,0.55
48,3,11428.0,Queens,154,0.48
49,3,11104.0,Queens,151,0.47
50,3,11366.0,Queens,146,0.45
51,3,11415.0,Queens,138,0.43
52,3,11692.0,Queens,125,0.39
53,3,11360.0,Queens,124,0.38
54,2,11694.0,Queens,107,0.33
55,2,11004.0,Queens,106,0.33
56,2,11363.0,Queens,103,0.32
57,2,11693.0,Queens,101,0.31
58,2,11430.0,Queens,30,0.09
59,2,11001.0,Queens,27,0.08
60,2,11040.0,Queens,22,0.07
61,1,11237.0,Queens,19,0.06
62,1,11697.0,Queens,9,0.03
63,1,11005.0,Queens,3,0.01
64,1,11109.0,Queens,2,0.01
65,1,11371.0,Queens,1,0.0
66,1,11239.0,Queens,1,0.0
67,1,11208.0,Queens,1,0.0
