the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000001C7C6132558852C00B42791F47494440,3438924,4658641,RIEDEL AVENUE,,2023-09-01 10:40:00+00,40.572483,-74.1302,Staten Island,10306.0,1,0,0,1,0,0,0,1,0,"Turning Improperly,Unspecified","Sedan,Taxi"
0101000020E610000080F10C1AFA8552C06A87BF266B4C4440,3438847,4658838,RICHMOND ROAD,,2023-09-01 20:15:00+00,40.59702,-74.09339,Staten Island,10304.0,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000C34659BF998C52C07787140324424440,3439758,4659505,,375       SEGUINE AVENUE,2023-09-01 21:00:00+00,40.516724,-74.196884,Staten Island,10309.0,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E61000004451A04FE48552C04968CBB9144B4440,3439593,4658840,SEAVIEW AVENUE,,2023-09-02 09:40:00+00,40.58657,-74.09206,Staten Island,10305.0,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
0101000020E610000018265305A38652C0B00111E2CA494440,3439849,4659591,HYLAN BOULEVARD,,2023-09-03 13:00:00+00,40.576504,-74.1037,Staten Island,,1,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bike,Sedan"
0101000020E61000004BB0389CF98952C0E52A16BF29484440,3439939,4659594,ARTHUR KILL ROAD,,2023-09-03 15:07:00+00,40.563774,-74.15586,Staten Island,10308.0,1,0,0,1,0,0,0,1,0,"Turning Improperly,Unspecified","Station Wagon/Sport Utility Vehicle,Motorcycle"
0101000020E6100000E2016553AE8A52C01021AE9CBD474440,3439950,4659593,ARTHUR KILL ROAD,,2023-09-03 13:20:00+00,40.560474,-74.16689,Staten Island,10312.0,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Motorcycle"
0101000020E61000001630815B778552C08F8D40BCAE4D4440,3439864,4659394,STATEN ISLAND EXPRESSWAY,,2023-09-03 23:02:00+00,40.606895,-74.08541,Staten Island,,1,0,0,0,2,0,0,0,2,"Unsafe Speed,Unspecified","Sedan,PK"
0101000020E6100000581CCEFC6A8852C0168A743FA7504440,3439894,4659162,,31        MITCHEL LANE,2023-09-03 15:00:00+00,40.630104,-74.13153,Staten Island,,1,0,0,0,0,1,0,1,0,Unspecified,Sedan
0101000020E6100000E59B6D6E4C8752C09C53C90050494440,3439874,4659376,NEW DORP LANE,,2023-09-03 15:29:00+00,40.572754,-74.11404,Staten Island,10306.0,1,0,0,0,1,0,0,0,1,"Unspecified,Unspecified","Pick-up Truck,Motorcycle"
0101000020E6100000CFDA6D179A8F52C097C9703C9F414440,3440249,4659552,WOOD AVENUE,,2023-09-04 16:45:00+00,40.512672,-74.24378,Staten Island,10307.0,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000002C7DE882FA8C52C0132A38BC20424440,3440222,4659557,HYLAN BOULEVARD,,2023-09-04 14:14:00+00,40.516624,-74.20279,Staten Island,,1,1,0,0,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E61000001F80D4264E8A52C0FCFF3861C24A4440,3440292,4659456,MARSH AVENUE,,2023-09-04 13:30:00+00,40.584057,-74.16102,Staten Island,,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000A4A5F276848952C065E256410C504440,3440149,4659615,MORNINGSTAR ROAD,,2023-09-04 22:45:00+00,40.625374,-74.14871,Staten Island,,1,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
0101000020E61000003CBD5296218A52C0967A1684F24A4440,3440607,4660189,,33        ELWOOD AVENUE,2023-09-05 16:00:00+00,40.585526,-74.1583,Staten Island,,1,0,0,1,0,0,0,1,0,Unspecified,Sedan
