Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
1,10,10457.0,Bronx,788,1.67
2,10,10467.0,Bronx,750,1.59
3,10,10460.0,Bronx,677,1.43
4,9,10451.0,Bronx,610,1.29
5,9,10452.0,Bronx,606,1.28
6,8,10458.0,Bronx,599,1.27
7,8,10472.0,Bronx,564,1.19
8,8,10468.0,Bronx,541,1.14
9,7,10462.0,Bronx,534,1.13
10,7,10453.0,Bronx,533,1.13
11,6,10461.0,Bronx,521,1.1
12,6,10466.0,Bronx,511,1.08
13,6,10456.0,Bronx,505,1.07
14,5,10463.0,Bronx,484,1.02
15,5,10455.0,Bronx,475,1.0
16,4,10459.0,Bronx,468,0.99
17,4,10454.0,Bronx,436,0.92
18,3,10469.0,Bronx,423,0.89
19,3,10473.0,Bronx,373,0.79
20,3,10474.0,Bronx,368,0.78
21,2,10465.0,Bronx,355,0.75
22,2,10475.0,Bronx,253,0.54
23,1,10470.0,Bronx,230,0.49
24,1,10471.0,Bronx,156,0.33
25,1,10464.0,Bronx,56,0.12
