zip_code,borough,total_crashes
11207,Brooklyn,127
11434,Queens,105
11368,Queens,86
11201,Brooklyn,84
11236,Brooklyn,82
11208,Brooklyn,76
11411,Queens,75
11212,Brooklyn,74
11234,Brooklyn,72
11375,Queens,71
11385,Queens,70
10451,The Bronx,70
11211,Brooklyn,68
11235,Brooklyn,67
11101,Queens,64
11355,Queens,64
11432,Queens,62
10463,The Bronx,62
10467,The Bronx,61
10454,The Bronx,61
10314,Staten Island,61
11206,Brooklyn,61
10029,Manhattan,60
10002,Manhattan,59
11377,Queens,58
11214,Brooklyn,55
11691,Queens,55
11221,Brooklyn,55
11209,Brooklyn,55
11220,Brooklyn,54
11373,Queens,54
11203,Brooklyn,54
11226,Brooklyn,54
10027,Manhattan,54
10306,Staten Island,53
10462,The Bronx,53
10312,Staten Island,52
11213,Brooklyn,50
10310,Staten Island,50
11218,Brooklyn,49
11435,Queens,48
10461,The Bronx,47
10016,Manhattan,46
11217,Brooklyn,46
11223,Brooklyn,45
11233,Brooklyn,45
10305,Staten Island,45
11232,Brooklyn,44
10459,The Bronx,44
11210,Brooklyn,44
10452,The Bronx,44
10468,The Bronx,43
11216,Brooklyn,43
10458,The Bronx,43
10466,The Bronx,42
10457,The Bronx,42
10460,The Bronx,40
10465,The Bronx,40
11222,Brooklyn,40
11215,Brooklyn,40
11238,Brooklyn,40
11219,Brooklyn,39
10453,The Bronx,39
11354,Queens,39
11420,Queens,39
10035,Manhattan,38
11230,Brooklyn,37
11369,Queens,37
11378,Queens,37
11419,Queens,37
11229,Brooklyn,36
11237,Brooklyn,36
10301,Staten Island,35
10019,Manhattan,35
11225,Brooklyn,35
11228,Brooklyn,35
10032,Manhattan,35
11204,Brooklyn,34
11205,Brooklyn,34
11249,Brooklyn,33
10469,The Bronx,33
10033,Manhattan,33
11372,Queens,33
11418,Queens,32
10022,Manhattan,32
10472,The Bronx,31
11224,Brooklyn,29
11231,Brooklyn,29
11364,Queens,28
11367,Queens,28
11106,Queens,28
10475,The Bronx,28
10001,Manhattan,28
11103,Queens,28
10010,Manhattan,28
10456,The Bronx,28
11102,Queens,27
11365,Queens,27
10304,Staten Island,27
11361,Queens,25
10025,Manhattan,25
11433,Queens,25
11356,Queens,25
11105,Queens,25
10030,Manhattan,24
11414,Queens,24
10013,Manhattan,24
10455,The Bronx,24
10036,Manhattan,23
11429,Queens,23
10473,The Bronx,23
11357,Queens,23
10128,Manhattan,23
10011,Manhattan,22
10031,Manhattan,22
10034,Manhattan,22
10014,Manhattan,22
11004,Queens,22
11423,Queens,21
10037,Manhattan,20
10003,Manhattan,20
10065,Manhattan,20
11362,Queens,20
10018,Manhattan,19
11374,Queens,19
10474,The Bronx,19
10038,Manhattan,18
10028,Manhattan,18
11417,Queens,18
11427,Queens,17
11370,Queens,17
11412,Queens,17
10009,Manhattan,17
11358,Queens,16
11239,Brooklyn,16
11416,Queens,16
10309,Staten Island,15
10026,Manhattan,15
10007,Manhattan,15
10040,Manhattan,15
10017,Manhattan,15
10021,Manhattan,14
11415,Queens,13
11421,Queens,13
10471,The Bronx,13
10012,Manhattan,12
11694,Queens,12
10039,Manhattan,12
11366,Queens,11
10308,Staten Island,11
11436,Queens,11
11692,Queens,10
11426,Queens,10
11363,Queens,10
11428,Queens,10
10004,Manhattan,10
10024,Manhattan,10
10006,Manhattan,9
10307,Staten Island,9
10023,Manhattan,9
11693,Queens,9
11104,Queens,9
10000,,7
11379,Queens,7
10470,The Bronx,6
11001,Queens,4
10075,Manhattan,4
11360,Queens,3
11430,Queens,2
10464,The Bronx,2
10069,Manhattan,2
10020,Manhattan,2
10005,Manhattan,2
10281,Manhattan,1
10280,Manhattan,1
10278,Manhattan,1
10153,Manhattan,1
11697,Queens,1
