the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000001973D712F27F52C09B1BD31396604440,3438839,4659110,WEST 34 STREET,,2023-09-01 15:48:00+00,40.75458,-73.99915,Manhattan,10001.0,1,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bus,Bike"
0101000020E6100000613255302A7F52C0D0D03FC1C5604440,3438876,4659077,7 AVENUE,,2023-09-01 22:30:00+00,40.756035,-73.98695,Manhattan,10036.0,1,1,0,0,0,0,0,1,0,"Unspecified,Unspecified","Taxi,Bike"
0101000020E6100000CC28965B5A7F52C006F4C29D0B5F4440,3438892,4658734,,7         WEST 24 STREET,2023-09-01 11:27:00+00,40.742542,-73.98989,Manhattan,10010.0,1,0,0,1,0,0,0,1,0,"Passing Too Closely,Unspecified","PK,Box Truck"
0101000020E6100000EDB60BCD757E52C0401361C3D3654440,3438870,4658935,RIVERSIDE DRIVE,,2023-09-01 21:38:00+00,40.795525,-73.97594,Manhattan,,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Moped"
0101000020E610000067F2CD36377C52C0E2CCAFE600654440,3438990,4658652,,359       EAST 105 STREET,2023-09-01 14:03:00+00,40.78909,-73.94087,Manhattan,10029.0,1,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
0101000020E6100000E40F069E7B7E52C0A032FE7DC65F4440,3438896,4659288,3 AVENUE,,2023-09-01 00:49:00+00,40.748245,-73.976295,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Passenger Distraction","Bike,Sedan"
0101000020E61000000DFD135CAC7E52C07D3F355EBA5F4440,3438909,4659062,,124       EAST 36 STREET,2023-09-01 14:25:00+00,40.747875,-73.97927,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Van,Bike"
0101000020E61000002B2FF99FFC7D52C036B05582C55F4440,3438857,4659066,FDR DRIVE,,2023-09-01 07:52:00+00,40.748215,-73.968544,Manhattan,10017.0,1,0,0,1,0,0,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
0101000020E6100000274EEE77287E52C01422E010AA604440,3438991,4658829,EAST 49 STREET,,2023-09-01 00:00:00+00,40.75519,-73.97122,Manhattan,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E6100000B70A62A06B7D52C0261AA4E029684440,3438912,4658722,BROADWAY,,2023-09-01 10:50:00+00,40.813778,-73.959694,Manhattan,,1,0,0,0,0,1,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
