the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E61000005704FF5BC97652C0A4A5F276846F4440,3438933,4658720,BOSTON ROAD,,2023-09-01 14:30:00+00,40.87123,-73.85604,Bronx,10469.0,1,0,0,3,0,0,0,3,0,"Turning Improperly,Driver Inattention/Distraction","Sedan,Pick-up Truck"
0101000020E610000039EE940ED67552C0357D76C075714440,3438840,4658669,BAYCHESTER AVENUE,,2023-09-01 15:15:00+00,40.886406,-73.84119,Bronx,,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
0101000020E61000009F5912A0A67752C06E1805C1E36D4440,3438855,4658599,,2245      BARKER AVENUE,2023-09-01 01:29:00+00,40.858513,-73.869545,Bronx,10467.0,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E610000072E14048167652C0CADFBDA3C6724440,3438948,4658895,PITMAN AVENUE,,2023-09-01 00:00:00+00,40.896687,-73.84511,Bronx,10466.0,1,0,0,1,0,0,0,1,0,"Other Vehicular,Following Too Closely","Sedan,Sedan"
0101000020E61000009AB1683A3B7552C07ADFF8DA336F4440,3438961,4658942,BARTOW AVENUE,,2023-09-01 21:15:00+00,40.86877,-73.83174,Bronx,10475.0,1,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000B2632310AF7752C0B13385CE6B704440,3438906,4658896,EAST GUN HILL ROAD,,2023-09-01 21:37:00+00,40.87829,-73.87006,Bronx,10465.0,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E61000008143A852B37752C0BAF59A1E14704440,3438963,4658668,BRONX BOULEVARD,,2023-09-01 13:53:00+00,40.875614,-73.87032,Bronx,10467.0,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,View Obstructed/Limited","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000D3DEE00B937752C058C7F143A56D4440,3438947,4658834,,640       PELHAM PARKWAY SOUTH,2023-09-01 17:30:00+00,40.856606,-73.86835,Bronx,10462.0,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000944DB9C2BB7A52C0BF823463D16A4440,3439756,4659404,GRAND CONCOURSE,,2023-09-01 20:30:00+00,40.834515,-73.91771,Bronx,10456.0,1,0,0,0,0,1,0,1,0,Traffic Control Disregarded,
0101000020E61000008811C2A38D7552C0A8C821E2E6704440,3439723,4658900,,3860      BOSTON ROAD,2023-09-02 10:55:00+00,40.882046,-73.83677,Bronx,10475.0,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,Sedan"
