the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000A0A696ADF56F52C0DD0720B5895B4440,3438894,4658791,JAMAICA AVENUE,,2023-09-01 14:00:00+00,40.71514,-73.74937,Queens,11428,1,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified",Bike
0101000020E61000001FA2D11DC47852C06DACC43C2B614440,3438901,4658600,31 AVENUE,,2023-09-01 04:15:00+00,40.759132,-73.88697,Queens,11370,1,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Following Too Closely","Sedan,Bike"
0101000020E61000006397A8DE1A7852C0E21E4B1FBA624440,3438898,4658601,GRAND CENTRAL PKWY,,2023-09-01 05:30:00+00,40.771305,-73.87664,Queens,,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified","Taxi,Taxi"
0101000020E6100000E8A4F78DAF7752C09B559FABAD604440,3438871,4658728,98 STREET,,2023-09-01 20:47:00+00,40.7553,-73.87009,Queens,,1,0,0,4,0,0,0,4,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
0101000020E6100000E292E34EE97A52C0CF4C309C6B604440,3438887,4659111,42 PLACE,,2023-09-01 11:24:00+00,40.753284,-73.92049,Queens,11101,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Station Wagon/Sport Utility Vehicle,Moped"
0101000020E610000076E09C11A57B52C045BB0A293F614440,3438850,4658961,35 AVENUE,,2023-09-01 18:00:00+00,40.75974,-73.93195,Queens,11106,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Station Wagon/Sport Utility Vehicle,Motorbike"
0101000020E6100000037D224F927252C01C78B5DC99574440,3438923,4658619,155 STREET,,2023-09-01 07:50:00+00,40.684383,-73.79018,Queens,,1,0,0,1,0,0,0,1,0,"Unsafe Speed,Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000007845F0BF957252C079E9263108584440,3438886,4658655,LINDEN BOULEVARD,,2023-09-01 11:35:00+00,40.68775,-73.79039,Queens,11434,1,0,0,5,0,0,0,5,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E6100000C98E8D40BC7452C088D51F6118584440,3438934,4658595,103 AVENUE,,2023-09-01 02:20:00+00,40.688244,-73.82399,Queens,11419,1,0,0,2,0,0,0,2,0,"Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,Unspecified","Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000005E85949F547552C00118CFA0A1614440,3438970,4658803,NORTHERN BOULEVARD,,2023-09-01 23:45:00+00,40.762745,-73.83329,Queens,,1,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000000BB5A679C76F52C07AE40F069E5B4440,3438952,4658788,JAMAICA AVENUE,,2023-09-01 20:30:00+00,40.71576,-73.74655,Queens,,1,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E6100000F7AFAC34297152C0D1798D5DA2584440,3438989,4658772,LINDEN BOULEVARD,,2023-09-01 19:57:00+00,40.692455,-73.76814,Queens,,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Motorscooter,Sedan"
0101000020E610000064AF777FBC7952C0C6DCB5847C604440,3438936,4658929,NORTHERN BOULEVARD,,2023-09-01 20:26:00+00,40.7538,-73.90213,Queens,,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Bike"
0101000020E6100000624A24D1CB7452C076A6D0798D614440,3438928,4658795,38 AVENUE,,2023-09-01 11:10:00+00,40.76213,-73.82494,Queens,11354,1,0,0,0,0,2,0,2,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
0101000020E610000014799274CD7652C0F511F8C3CF554440,3438883,4659275,LINDEN BOULEVARD,,2023-09-01 14:39:00+00,40.670403,-73.85629,Queens,11414,1,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Driver Inattention/Distraction","Pick-up Truck,Station Wagon/Sport Utility Vehicle"
0101000020E6100000643BDF4F8D7552C021CCED5EEE5B4440,3438918,4658695,QUEENS BOULEVARD,,2023-09-01 11:13:00+00,40.718212,-73.83675,Queens,11375,1,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified",Sedan
0101000020E610000069006F81047752C02C82FFAD645B4440,3438993,4658694,WOODHAVEN BOULEVARD,,2023-09-01 13:55:00+00,40.71401,-73.85965,Queens,,1,0,0,2,0,0,0,2,0,"Failure to Keep Right,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000CC7F48BF7D7452C00742B28009584440,3439633,4659302,LIBERTY AVENUE,,2023-09-02 03:19:00+00,40.68779,-73.820175,Queens,11419,1,0,0,0,0,1,0,1,0,Traffic Control Disregarded,
0101000020E610000077F35487DC7652C060730E9E09614440,3439687,4659443,,112-15    NORTHERN BOULEVARD,2023-09-02 04:40:00+00,40.758106,-73.85721,Queens,11368,1,0,0,0,0,1,0,1,0,,Station Wagon/Sport Utility Vehicle
0101000020E6100000DAE1AFC91A7752C0DC0F786000614440,3439669,4659149,108 STREET,,2023-09-02 21:50:00+00,40.757824,-73.86101,Queens,11368,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Motorscooter"
0101000020E6100000EA78CC40657752C02235ED629A614440,3439592,4659152,29 AVENUE,,2023-09-02 11:57:00+00,40.762524,-73.865555,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inexperience,Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E61000008C101E6D1C7552C060CD0182394A4440,3439688,4659128,BEACH 109 STREET,,2023-09-02 18:10:00+00,40.57988,-73.82986,Queens,11694,1,0,0,1,0,0,0,1,0,Unsafe Speed,Sedan
0101000020E610000071C971A7746E52C0B459F5B9DA5E4440,3439721,4659391,CROSS ISLAND PARKWAY,,2023-09-02 16:41:00+00,40.74105,-73.72587,Queens,,1,0,0,1,0,0,0,1,0,Unspecified,Sedan
0101000020E6100000B5E0455F417A52C051DA1B7C61604440,3439755,4659524,WOODSIDE AVENUE,,2023-09-01 09:20:00+00,40.752975,-73.91024,Queens,,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E610000067B8019F1F6F52C0728A8EE4F2534440,3439681,4658995,,253-08    147 DRIVE,2023-09-02 12:38:00+00,40.65585,-73.736305,Queens,11422,1,1,0,0,0,0,0,1,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Sedan,Bike"
0101000020E6100000DA722EC5557952C0508E0244C15E4440,3439700,4658928,69 STREET,,2023-09-02 09:34:00+00,40.740273,-73.89586,Queens,11377,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Bike,Sedan"
0101000020E61000005648F949B57352C0289B728577554440,3439677,4659293,131 STREET,,2023-09-02 19:00:00+00,40.66771,-73.80794,Queens,,1,0,0,1,0,1,0,2,0,"Failure to Yield Right-of-Way,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000E8667FA0DC7852C0200C3CF71E624440,3439635,4659153,GRAND CENTRAL PKWY,,2023-09-02 20:00:00+00,40.76657,-73.888466,Queens,,1,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
